NameOfTheFilms,Websites,Rasa,SynonymOfRasa,WebPage
Sri 420,https://en.wikipedia.org/wiki/Shree_420,Rudra,"Anger, Fear",
Apur Sansar,https://en.wikipedia.org/wiki/The_World_of_Apu,Bibhasta,,
Mother India,https://en.wikipedia.org/wiki/Mother_India,Sinagra,,
The Postmaster,https://en.wikipedia.org/wiki/Postmaster_(film),Hasya,,
Shatranj ke Khiladi,https://en.wikipedia.org/wiki/The_Chess_Players_(film),Karunya,,
Sholay,https://en.wikipedia.org/wiki/Sholay,Vira,,
Deewar,https://en.wikipedia.org/wiki/Deewaar,Bhayanak,,
Umrao Jaan,https://en.wikipedia.org/wiki/Umrao_Jaan_(1981_film),Adhbuta,"Wonder, ",
Dil Se,https://en.wikipedia.org/wiki/Dil_Se..,Shanti,"Peace, Tranquility",
Bandit Queen,https://en.wikipedia.org/wiki/Bandit_Queen,,,
Peepli Live,https://en.wikipedia.org/wiki/Peepli_Live,,,
Haider,https://en.wikipedia.org/wiki/Haider_(film),,,
Gangs of Wasseypur,https://en.wikipedia.org/wiki/Gangs_of_Wasseypur,,,
Sacred Games,https://en.wikipedia.org/wiki/Sacred_Games_(TV_series),,,
Amar Akbar Anthony,https://en.wikipedia.org/wiki/Amar_Akbar_Anthony,,,
Dhoom,https://en.wikipedia.org/wiki/Dhoom,,,
The bicycle thieves,https://en.wikipedia.org/wiki/Bicycle_Thieves,,,
The lunchbox,https://en.wikipedia.org/wiki/The_Lunchbox,,,
Border,https://en.wikipedia.org/wiki/Border_(2018_Swedish_film),,,
Maine pyar kiya,https://en.wikipedia.org/wiki/Maine_Pyar_Kiya,,,
Ghayal,https://en.wikipedia.org/wiki/Ghayal_(1990_film)?sa=X&ved=2ahUKEwj3iP78vZDmAhXF6Z4KHRRQC0MQ9QF6BAgLEAI,,,
Lamhe,https://en.wikipedia.org/wiki/Lamhe,,,
Jo jeeta wahi sikandar,https://en.wikipedia.org/wiki/Jo_Jeeta_Wohi_Sikandar,,,
Hum hain Rahi Pyaar ke,https://en.wikipedia.org/wiki/Hum_Hain_Rahi_Pyar_Ke,,,
Hum aapke hain kaun,https://en.wikipedia.org/wiki/Hum_Aapke_Hain_Koun..!,,,
Dilwale Dulhaniya le jayenge,https://en.wikipedia.org/wiki/Dilwale_Dulhania_Le_Jayenge,,,
Raja Hindustani,https://en.wikipedia.org/wiki/Raja_Hindustani,,,
Dil to Pagal hai,https://en.wikipedia.org/wiki/Dil_To_Pagal_Hai,,,
Kuch kuch hota hai,https://en.wikipedia.org/wiki/Kuch_Kuch_Hota_Hai,,,
Hum dil de chuke sanam,https://en.wikipedia.org/wiki/Hum_Dil_De_Chuke_Sanam?sa=X&ved=2ahUKEwiCjeiJvpDmAhUHEqwKHRMtBwMQ9QF6BAgLEAI,,,
Kaho naa Pyaar Hai,https://en.wikipedia.org/wiki/Kaho_Naa..._Pyaar_Hai,,,
Lagaan,https://en.wikipedia.org/wiki/Lagaan,,,
Devdas,https://en.wikipedia.org/wiki/Devdas_(2002_Hindi_film),,,
Koi Mil gaya,https://en.wikipedia.org/wiki/Koi..._Mil_Gaya,,,
Veer-Zaara,https://en.wikipedia.org/wiki/Veer-Zaara,,,
Black,https://en.wikipedia.org/wiki/Black_(2005_film),,,
Rang de Basanti,https://en.wikipedia.org/wiki/Rang_De_Basanti,,,
Tare Zameen Par,https://en.wikipedia.org/wiki/Taare_Zameen_Par,,,
Jodha Akbar,https://en.wikipedia.org/wiki/Jodhaa_Akbar?sa=X&ved=2ahUKEwj7jsyXvpDmAhUMcq0KHWbgDZoQ9QF6BAgLEAI,,,
3 Idiots,https://en.wikipedia.org/wiki/3_Idiots,,,
Dabangg,https://en.wikipedia.org/wiki/Dabangg,,,
Zindagi Na Milegi Dobara,https://en.wikipedia.org/wiki/Zindagi_Na_Milegi_Dobara,,,
War,,,,
Student of the Year,,,,
Kabir Singh,,,,
Singham,,,,
Super 30,,,,
Hum saath saath hain,,,,
Hum aapke hain kaun,,,,
Mujhse Dosti Karoge,,,,
Kabhi Khusi Kahbi Gham,,,,
URI: The Surgical Strike,,,,
Batla House,,,,
Mission Mangal,,,,
Kesari,,,,
Zero,,,,
Thugs of Hindustan,,,,
SImba,,,,
Dangal,,,,
Tiger Zinda Hain,,,,
Baby,,,,
Holiday,,,,
3 Idiots,,,,
Dhoom2,,,,
Dhoom3,,,,
Rowdy Rathore,,,,
Baaghi,,,,
Manikarnika,,,,
Ek tha Tiger,,,,
Mardani,,,,
Force,,,,
Race,,,,
Don,,,,
Don2,,,,
Dus,,,,
Gabbar is back,,,,
Bang Bang,,,,
Shivaay,,,,
Taalash,,,,
Raees,,,,
Phantom,,,,
Agneepath,,,,
Wanted,,,,
Bodyguard,,,,
Tezz,,,,
Khakee,,,,
Jai hoo,,,,
Krrish,,,,
Ghajini,,,,
Gangaajal,,,,
Article 15,,,,
Qyamat: City Under Threat,,,,
Bhool Bhulaiya,,,,
Ghayal,,,,
Baazigar,,,,
Karan Arjun,,,,
Gadar: Ek Prem Katha,,,,
Shootout at Lokhandwala,,,,
Satya,,,,